Region,Product,Category,Quantity,Unit Price,Total Amount,Payment Method,Discount,Customer Age,Country,Order Status,Revenue_Per_Unit,Order Date
1,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,-0.1743732093096594,1,1,1.162958051047312,1970-01-01
2,5,0,0.08606629658238711,1.5152288168283161,-0.8049844718999243,2,0.02498391222599665,-0.9259818701271568,1,1,-9.3519877580867,1970-01-01
0,6,0,-1.2049281521534185,0.5050762722761053,0.08944271909999153,3,-0.15347260367397936,1.3288441123253354,1,1,-0.07423136496046669,1970-01-01
3,0,0,1.3770607453181927,1.0101525445522106,-0.20869967789998042,1,-0.15347260367397936,-0.02405147714615994,1,1,-0.15155334510556118,1970-01-01
1,3,0,-2.065591117977289,0.0,-1.997554059899812,2,0.20344042812597266,0.4269137193443385,1,2,0.9670663826826168,1970-01-01
2,1,0,0.5163977794943223,-0.5050762722761053,1.2820123070998792,2,-0.15347260367397936,-1.2266253344541558,1,1,2.4825580829848333,1970-01-01
0,4,0,-0.7745966692414833,-1.0101525445522106,-1.1031268688998963,3,-0.15347260367397936,-0.6253384058001579,1,1,1.4241490496862501,1970-01-01
3,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,0.8778789158348369,1,1,1.162958051047312,1970-01-01
1,5,0,0.08606629658238711,1.5152288168283161,-0.8049844718999243,2,0.02498391222599665,0.12627025501733954,1,1,-9.3519877580867,1970-01-01
2,6,0,-1.2049281521534185,0.5050762722761053,0.08944271909999153,1,-0.15347260367397936,-1.0763036022906562,1,1,-0.07423136496046669,1970-01-01
3,0,0,-0.34426518632954806,1.0101525445522106,0.3875851160999635,2,-0.15347260367397936,-1.3769470666176553,1,1,-1.1258657283638906,1970-01-01
1,3,0,0.08606629658238711,0.0,0.6857275130999354,2,-0.15347260367397936,0.577235451507838,1,1,7.9665080902220025,1970-01-01
2,1,0,0.5163977794943223,-0.5050762722761053,1.2820123070998792,2,-0.15347260367397936,-0.02405147714615994,1,1,2.4825580829848333,1970-01-01
3,4,0,1.3770607453181927,-1.0101525445522106,0.9838699100999073,0,-0.15347260367397936,-0.3246949414731589,1,1,0.7144657697833596,1970-01-01
1,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,6.984788032325061,1.0282006479983363,1,1,1.162958051047312,1970-01-01
2,5,0,0.08606629658238711,1.5152288168283161,-0.8049844718999243,3,-0.3319291195739554,0.27659198718083905,1,1,-9.3519877580867,1970-01-01
3,6,0,-1.2049281521534185,0.5050762722761053,0.08944271909999153,2,-0.15347260367397936,-0.9259818701271568,1,0,-0.07423136496046669,1970-01-01
1,0,0,1.3770607453181927,1.0101525445522106,-0.20869967789998042,2,-0.15347260367397936,2.0804527731428326,1,1,-0.15155334510556118,1970-01-01
2,3,0,0.08606629658238711,0.0,0.6857275130999354,1,-0.15347260367397936,-0.02405147714615994,0,1,7.9665080902220025,1970-01-01
3,1,0,0.08606629658238711,-0.5050762722761053,1.2820123070998792,2,-0.15347260367397936,0.7275571836713375,1,1,14.893906429545483,1970-01-01
1,4,0,1.3770607453181927,-1.0101525445522106,0.9838699100999073,2,-0.15347260367397936,-0.4750166736366584,1,1,0.7144657697833596,1970-01-01
2,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,-0.1743732093096594,1,1,1.162958051047312,1970-01-01
3,5,0,0.08606629658238711,1.5152288168283161,-0.8049844718999243,2,-0.15347260367397936,0.12627025501733954,1,1,-9.3519877580867,1970-01-01
1,6,0,-1.2049281521534185,0.5050762722761053,0.08944271909999153,2,-0.15347260367397936,0.8778789158348369,1,1,-0.07423136496046669,1970-01-01
2,0,0,0.9467292624062575,1.0101525445522106,-0.5068420748999524,2,-0.15347260367397936,-1.5272687987811548,1,1,-0.5353555039132413,1970-01-01
3,3,0,0.08606629658238711,0.0,0.6857275130999354,3,-0.15347260367397936,1.1785223801618359,1,1,7.9665080902220025,1970-01-01
1,1,0,0.5163977794943223,-0.5050762722761053,1.2820123070998792,2,-0.15347260367397936,0.4269137193443385,1,1,2.4825580829848333,1970-01-01
2,4,0,1.8073922282301278,-1.0101525445522106,1.2820123070998792,1,-0.15347260367397936,-0.6253384058001579,1,1,0.7093121204986402,1970-01-01
3,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,-0.9259818701271568,1,1,1.162958051047312,1970-01-01
1,5,0,0.08606629658238711,1.5152288168283161,-0.8049844718999243,2,-0.15347260367397936,-0.3246949414731589,1,1,-9.3519877580867,1970-01-01
2,6,0,0.08606629658238711,0.5050762722761053,0.08944271909999153,2,-0.15347260367397936,1.479165844488835,1,1,1.0391097508985216,1970-01-01
3,0,0,1.3770607453181927,1.0101525445522106,0.08944271909999153,3,-0.15347260367397936,1.9301310409793333,1,1,0.06495143361666902,1970-01-01
1,3,0,0.08606629658238711,0.0,0.6857275130999354,2,-0.15347260367397936,1.7798093088158338,1,1,7.9665080902220025,1970-01-01
2,1,0,0.5163977794943223,0.0,1.2820123070998792,2,-0.15347260367397936,-0.02405147714615994,1,1,2.4825580829848333,1970-01-01
3,4,0,1.3770607453181927,-1.0101525445522106,0.9838699100999073,2,-0.15347260367397936,0.27659198718083905,1,1,0.7144657697833596,1970-01-01
1,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,-1.6775905309446542,1,1,1.162958051047312,1970-01-01
2,5,0,-1.6352596350653537,1.5152288168283161,-1.6994116628998401,2,-0.15347260367397936,0.577235451507838,1,1,1.0392368397207576,1970-01-01
3,6,0,-1.2049281521534185,0.5050762722761053,0.08944271909999153,2,-0.15347260367397936,-1.8279122631081537,1,1,-0.07423136496046669,1970-01-01
1,0,0,0.5163977794943223,1.0101525445522106,-1.1031268688998963,1,-0.15347260367397936,-1.2266253344541558,1,1,-2.1361546295450897,1970-01-01
2,3,0,0.08606629658238711,0.0,0.6857275130999354,2,-0.15347260367397936,-0.1743732093096594,1,1,7.9665080902220025,1970-01-01
3,1,0,0.5163977794943223,-0.5050762722761053,1.2820123070998792,2,-0.15347260367397936,1.3288441123253354,1,1,2.4825580829848333,1970-01-01
1,4,0,1.3770607453181927,-1.0101525445522106,0.9838699100999073,3,-0.15347260367397936,0.4269137193443385,1,1,0.7144657697833596,1970-01-01
2,2,0,-1.2049281521534185,-1.5152288168283161,-1.4012692658998682,2,-0.15347260367397936,-0.7756601379636573,1,1,1.162958051047312,1970-01-01
